nr,TL,TW,Sex,fecundity,Location,Introduction,age,0,1,2,3,4,5,6,7,8
54,64,3.1,3,2,Kihnu,2012,1,NA,35.26185836473359,NA,NA,NA,NA,NA,NA,NA
56,66,3,3,2,Kihnu,2012,1,NA,42.80063566689648,NA,NA,NA,NA,NA,NA,NA
63,53,1.6,3,2,Kihnu,2012,1,NA,44.39366087542747,NA,NA,NA,NA,NA,NA,NA
68,36,0.4,3,2,Kihnu,2012,1,NA,22.427018637910336,NA,NA,NA,NA,NA,NA,NA
6,172,79.9,0,4,Kihnu,2012,2,NA,66.46328140465872,158.7685716338617,NA,NA,NA,NA,NA,NA
8,92,113,0,4,Kihnu,2012,2,NA,33.56747767639455,87.13758490719185,NA,NA,NA,NA,NA,NA
11,110,13.7,0,3,Kihnu,2012,2,NA,49.75108718928632,104.01740742976361,NA,NA,NA,NA,NA,NA
15,139,29.9,0,4,Kihnu,2012,2,NA,60.444841369809055,138.16436258872085,NA,NA,NA,NA,NA,NA
29,162,82.2,0,3,Kihnu,2012,2,NA,57.599270031889404,147.75936532561894,NA,NA,NA,NA,NA,NA
40,95,13.5,0,4,Kihnu,2012,2,NA,39.620309406920455,90.20125723981356,NA,NA,NA,NA,NA,NA
49,85,7.7,0,3,Kihnu,2012,2,NA,51.30843923776706,78.33285732717046,NA,NA,NA,NA,NA,NA
51,73,4.9,0,3,Kihnu,2012,2,NA,26.42111068041198,68.86726480736489,NA,NA,NA,NA,NA,NA
2,157,58.8,1,4,Kihnu,2012,2,NA,70.85355739416875,148.50073998432367,NA,NA,NA,NA,NA,NA
4,142,49.5,1,4,Kihnu,2012,2,NA,41.86080395345538,129.8910709316294,NA,NA,NA,NA,NA,NA
7,153,66.4,1,3,Kihnu,2012,2,NA,65.31403750286555,139.43374509061246,NA,NA,NA,NA,NA,NA
9,97,14.4,1,4,Kihnu,2012,2,NA,47.01872044129161,92.3237136576363,NA,NA,NA,NA,NA,NA
19,171,73.7,1,2,Kihnu,2012,2,NA,83.52014475870293,167.805612512873,NA,NA,NA,NA,NA,NA
36,132,33.4,1,3,Kihnu,2012,2,NA,26.24486423687773,120.63501298686155,NA,NA,NA,NA,NA,NA
37,124,26.2,1,4,Kihnu,2012,2,NA,73.10861210657221,121.62945704450837,NA,NA,NA,NA,NA,NA
18,116,22.6,3,2,Kihnu,2012,2,NA,42.11973362396531,109.26208474236614,NA,NA,NA,NA,NA,NA
26,119,25.5,3,2,Kihnu,2012,2,NA,33.17253288109216,108.69270537613035,NA,NA,NA,NA,NA,NA
31,138,44.8,3,2,Kihnu,2012,2,NA,62.198086502871064,127.88236933308893,NA,NA,NA,NA,NA,NA
38,101,13.6,3,2,Kihnu,2012,2,NA,29.337317497478125,90.01940201956049,NA,NA,NA,NA,NA,NA
39,98,15.5,3,2,Kihnu,2012,2,NA,25.731012031308616,87.65382301546256,NA,NA,NA,NA,NA,NA
50,84,10.200000000000001,3,2,Kihnu,2012,2,NA,17.370984341643712,71.58577247465233,NA,NA,NA,NA,NA,NA
5,148,52.5,0,4,Kihnu,2012,3,NA,48.68078151485173,101.24451633106321,142.97441347287844,NA,NA,NA,NA,NA
12,152,53.2,0,4,Kihnu,2012,3,NA,53.76086297675703,128.75347853287218,146.56969594343886,NA,NA,NA,NA,NA
13,108,14.6,0,4,Kihnu,2012,3,NA,32.38034039384959,70.23321893309796,104.91348328138162,NA,NA,NA,NA,NA
20,142,41.7,0,3,Kihnu,2012,3,NA,62.46045863097933,109.00991836163729,140.1535463610763,NA,NA,NA,NA,NA
21,122,23.1,0,5,Kihnu,2012,3,NA,25.16739311510472,89.1826965618907,115.31063709809482,NA,NA,NA,NA,NA
22,141,38.1,0,4,Kihnu,2012,3,NA,65.43749797358679,106.47293899119796,137.317928926679,NA,NA,NA,NA,NA
25,137,32.9,0,3,Kihnu,2012,3,NA,45.41737530007143,106.14797380957621,134.33577819054753,NA,NA,NA,NA,NA
35,162,72.4,0,4,Kihnu,2012,3,NA,56.63224625243836,110.24741015176029,157.34398014179845,NA,NA,NA,NA,NA
43,175,99.2,0,4,Kihnu,2012,3,NA,48.206061258541126,111.44459779593645,147.7910002700732,NA,NA,NA,NA,NA
14,122,30.4,1,2,Kihnu,2012,3,NA,45.14391591088034,94.45644648655697,110.97619803974243,NA,NA,NA,NA,NA
24,163,81.5,1,3,Kihnu,2012,3,NA,56.3961581336595,127.18095083635264,159.76381194334326,NA,NA,NA,NA,NA
27,168,96.2,1,3,Kihnu,2012,3,NA,51.99504924739183,113.48684108524355,157.55493272107992,NA,NA,NA,NA,NA
41,192,115.1,1,4,Kihnu,2012,3,NA,67.6722743308227,139.23669761468778,187.4023645361167,NA,NA,NA,NA,NA
78,201,124.1,1,3,Kihnu,2012,3,NA,58.17166177229204,159.0929634715365,201,NA,NA,NA,NA,NA
30,176,68.3,3,2,Kihnu,2012,3,NA,51.90165776173516,125.91376937595389,173.26619139261499,NA,NA,NA,NA,NA
1,153,60,0,4,Kihnu,2012,4,NA,45.389192251809796,81.58749036195273,118.51747876193399,149.4702931016153,NA,NA,NA,NA
16,171,67.1,0,5,Kihnu,2012,4,NA,39.123739350749574,64.11082407398871,122.8681255231408,NA,NA,NA,NA,NA
44,181,86.7,0,4,Kihnu,2012,4,NA,48.22828250914313,118.30863466311851,157.80764853578805,178.48300061628711,NA,NA,NA,NA
76,196,107.1,0,3,Kihnu,2012,4,NA,52.01977638313115,131.33302396897068,171.00082279237137,191.39488840912105,NA,NA,NA,NA
3,148,52.4,1,3,Kihnu,2012,4,NA,47.04072547197182,96.95248704399431,128.64441430224173,146.3139733712754,NA,NA,NA,NA
33,182,91,1,4,Kihnu,2012,4,NA,37.42181367472217,88.4328259453098,150.39049419935697,182,NA,NA,NA,NA
34,188,106.3,1,4,Kihnu,2012,4,NA,60.1080923660881,97.265855791181,129.3018904172623,181.58596815817768,NA,NA,NA,NA
