nr,sex,location,introduction,age,tl
38,3,Tallinna laht,2005,0,29
40,3,Tallinna laht,2005,0,33
42,3,Tallinna laht,2005,0,39
48,3,Tallinna laht,2005,0,46
54,3,Kihnu,2012,1,35.26185836473359
56,3,Kihnu,2012,1,42.80063566689648
63,3,Kihnu,2012,1,44.39366087542747
68,3,Kihnu,2012,1,22.427018637910336
6,0,Kihnu,2012,1,66.46328140465872
8,0,Kihnu,2012,1,33.56747767639455
11,0,Kihnu,2012,1,49.75108718928632
15,0,Kihnu,2012,1,60.444841369809055
29,0,Kihnu,2012,1,57.599270031889404
40,0,Kihnu,2012,1,39.620309406920455
49,0,Kihnu,2012,1,51.30843923776706
51,0,Kihnu,2012,1,26.42111068041198
2,1,Kihnu,2012,1,70.85355739416875
4,1,Kihnu,2012,1,41.86080395345538
7,1,Kihnu,2012,1,65.31403750286555
9,1,Kihnu,2012,1,47.01872044129161
19,1,Kihnu,2012,1,83.52014475870293
36,1,Kihnu,2012,1,26.24486423687773
37,1,Kihnu,2012,1,73.10861210657221
18,3,Kihnu,2012,1,42.11973362396531
26,3,Kihnu,2012,1,33.17253288109216
31,3,Kihnu,2012,1,62.198086502871064
38,3,Kihnu,2012,1,29.337317497478125
39,3,Kihnu,2012,1,25.731012031308616
50,3,Kihnu,2012,1,17.370984341643712
5,0,Kihnu,2012,1,48.68078151485173
12,0,Kihnu,2012,1,53.76086297675703
13,0,Kihnu,2012,1,32.38034039384959
20,0,Kihnu,2012,1,62.46045863097933
21,0,Kihnu,2012,1,25.16739311510472
22,0,Kihnu,2012,1,65.43749797358679
25,0,Kihnu,2012,1,45.41737530007143
35,0,Kihnu,2012,1,56.63224625243836
43,0,Kihnu,2012,1,48.206061258541126
14,1,Kihnu,2012,1,45.14391591088034
24,1,Kihnu,2012,1,56.3961581336595
27,1,Kihnu,2012,1,51.99504924739183
41,1,Kihnu,2012,1,67.6722743308227
78,1,Kihnu,2012,1,58.17166177229204
30,3,Kihnu,2012,1,51.90165776173516
1,0,Kihnu,2012,1,45.389192251809796
16,0,Kihnu,2012,1,39.123739350749574
44,0,Kihnu,2012,1,48.22828250914313
76,0,Kihnu,2012,1,52.01977638313115
3,1,Kihnu,2012,1,47.04072547197182
33,1,Kihnu,2012,1,37.42181367472217
34,1,Kihnu,2012,1,60.1080923660881
47,1,Kihnu,2012,1,30.43302098710977
73,1,Kihnu,2012,1,61.9738966760582
74,1,Kihnu,2012,1,39.4990225643114
75,1,Kihnu,2012,1,50.291724398471445
32,3,Kihnu,2012,1,26.85290059811577
48,0,Kihnu,2012,1,29.242515045990974
29,0,Kõiguste,2014,1,55.9147082649777
31,1,Kõiguste,2014,1,40.83969884827037
22,3,Kõiguste,2014,1,28.118332243794963
23,3,Kõiguste,2014,1,32.904315764570356
30,3,Kõiguste,2014,1,24.465094064512424
35,3,Kõiguste,2014,1,27.399637224558035
15,0,Kõiguste,2014,1,44.190483822305126
16,0,Kõiguste,2014,1,42.70546375200287
20,0,Kõiguste,2014,1,36.8274352119944
21,0,Kõiguste,2014,1,45.11614836955681
24,0,Kõiguste,2014,1,36.62605128990772
27,0,Kõiguste,2014,1,45.63309114506254
28,0,Kõiguste,2014,1,44.50466658101896
34,0,Kõiguste,2014,1,29.666070293661427
36,0,Kõiguste,2014,1,32.64553641823443
40,0,Kõiguste,2014,1,48.44841384420596
47,0,Kõiguste,2014,1,54.6678927884392
48,0,Kõiguste,2014,1,58.2448571793948
5,1,Kõiguste,2014,1,52.46117536403274
7,1,Kõiguste,2014,1,68.5737655474448
9,1,Kõiguste,2014,1,69.42013487369455
13,1,Kõiguste,2014,1,40.82829186101759
25,1,Kõiguste,2014,1,32.726103499150106
37,1,Kõiguste,2014,1,51.46300850048773
38,1,Kõiguste,2014,1,90.73085947041798
42,1,Kõiguste,2014,1,44.5540471234524
44,1,Kõiguste,2014,1,72.95085539389488
46,1,Kõiguste,2014,1,46.74815849589285
51,1,Kõiguste,2014,1,59.18275136482788
58,1,Kõiguste,2014,1,67.51324439000386
14,3,Kõiguste,2014,1,36.913653233990246
18,3,Kõiguste,2014,1,48.88697528847958
19,3,Kõiguste,2014,1,33.596104175538024
26,3,Kõiguste,2014,1,37.49440119971752
33,3,Kõiguste,2014,1,36.9426156836753
52,3,Kõiguste,2014,1,47.73556661873096
3,0,Kõiguste,2014,1,49.78168585821976
17,0,Kõiguste,2014,1,34.68576441586398
43,0,Kõiguste,2014,1,58.024823073600786
45,0,Kõiguste,2014,1,46.381834221274964
50,0,Kõiguste,2014,1,43.404156666871486
4,1,Kõiguste,2014,1,34.66333130787639
6,1,Kõiguste,2014,1,49.3505014218353
8,1,Kõiguste,2014,1,37.60164681325799
12,1,Kõiguste,2014,1,46.67493213103573
49,1,Kõiguste,2014,1,32.26147651145701
53,1,Kõiguste,2014,1,48.85557522340066
54,1,Kõiguste,2014,1,58.253687871946454
55,1,Kõiguste,2014,1,69.9056238478366
56,1,Kõiguste,2014,1,56.392267416346726
61,1,Kõiguste,2014,1,54.74495069286272
1,0,Kõiguste,2014,1,40.58682133506873
11,0,Kõiguste,2014,1,44.59501781502217
10,1,Kõiguste,2014,1,42.92403787366075
57,1,Kõiguste,2014,1,37.81031884485082
59,1,Kõiguste,2014,1,47.179742201744695
60,1,Kõiguste,2014,1,58.12129413676764
49,0,Käsmu,2012,1,50.752700386341964
85,0,Käsmu,2012,1,100.44945904641294
48,3,Käsmu,2012,1,35.9085743285039
50,3,Käsmu,2012,1,35.50836268590519
51,3,Käsmu,2012,1,27.443312634790825
52,3,Käsmu,2012,1,31.554238004495982
53,3,Käsmu,2012,1,24.336522525191864
54,3,Käsmu,2012,1,34.77215881026371
55,3,Käsmu,2012,1,27.78257898300903
16,0,Käsmu,2012,1,42.69336661437679
17,0,Käsmu,2012,1,40.94864615283193
20,0,Käsmu,2012,1,26.86540029445924
21,0,Käsmu,2012,1,21.146577374709004
15,1,Käsmu,2012,1,39.58158889449569
37,1,Käsmu,2012,1,46.38494188877689
19,3,Käsmu,2012,1,40.006333027195126
5,0,Käsmu,2012,1,30.958844102738375
18,0,Käsmu,2012,1,38.745766379210174
30,0,Käsmu,2012,1,48.504629091343936
36,0,Käsmu,2012,1,34.740293115172555
39,0,Käsmu,2012,1,49.97621686171149
42,0,Käsmu,2012,1,44.369204981651635
1,1,Käsmu,2012,1,46.062791442072054
2,1,Käsmu,2012,1,37.152371720615825
10,1,Käsmu,2012,1,37.283953400033376
11,1,Käsmu,2012,1,35.14322049920672
12,1,Käsmu,2012,1,38.67708956812752
13,1,Käsmu,2012,1,28.099155577758975
14,1,Käsmu,2012,1,26.293865052871542
24,1,Käsmu,2012,1,36.363171837028894
